mlb_id,name,pos
no_id_Liam Hicks,Liam Hicks,C
672744,Alexander Canario,OF
682868,Bryan Ramos,3B
691728,Zac Veen,OF
no_id_Jorge Barrosa,Jorge Barrosa,OF
645444,Jose Herrera,C
672356,Gabriel Arias,3B
664770,Nathan Lukes,OF
641511,Jason Delay,C
691182,Adael Amador,2B
622761,Jorge Mateo,2B
no_id_Robert Hassell III,Robert Hassell III,OF
805300,Jakob Marsee,OF
679822,Justin Foscue,UT
663662,Daz Cameron,3B
682622,Noelvi Marte,3B
666150,Dominic Fletcher,OF
663609,Luken Baker,UT
701305,Zach Dezenzo,1B
668853,Austin Shenton,1B
805811,Bryce Eldridge,1B
677649,Ezequiel Duran,"3B, OF"
669707,Jared Triolo,"2B, 3B"
656896,Emmanuel Rivera,"1B, 3B"
680474,Max Schuemann,"3B, SS"
572138,Jon Singleton,1B
701762,Nick Kurtz,1B
no_id_Brock Wilken,Brock Wilken,3B
679845,Nick Loftin,2B
683953,Travis Bazzana,2B
543510,James McCann,C
518735,Yasmani Grandal,C
553869,Elias Diaz,C
664068,Scott Kingery,SS
no_id_Cooper Bowman,Cooper Bowman,2B
655316,Andruw Monasterio,"2B, 3B"
682177,Daniel Schneemann,"SS, OF"
695391,Brett Harris,3B
680718,Addison Barger,"3B, OF"
664056,Harrison Bader,OF
502110,J.D. Martinez,UT
657656,Ramon Laureano,OF
502054,Tommy Pham,OF
657077,Alex Verdugo,OF
688363,Graham Pauley,3B
592192,Mark Canha,"1B, OF"
545341,Randal Grichuk,OF
622534,Manuel Margot,OF
444482,David Peralta,OF
518792,Jason Heyward,OF
572191,Michael A. Taylor,OF
658668,Edward Olivares,OF
666185,Dylan Carlson,OF
543257,Robbie Grossman,OF
592696,Eddie Rosario,OF
656582,Connor Joe,"1B, OF"
667452,Corey Julks,OF
621466,DJ Stewart,OF
623912,Harold Ramirez,UT
670764,Taylor Walls,SS
no_id_Jorbit Vivas,Jorbit Vivas,2B
676116,Ryan Noda,1B
no_id_Eric Wagaman,Eric Wagaman,3B
676724,Jared Young,1B
no_id_Jonathan Ornelas,Jonathan Ornelas,3B
660162,Yoan Moncada,3B
578428,Jose Iglesias,"2B, 3B"
642133,Rowdy Tellez,1B
519203,Anthony Rizzo,1B
457759,Justin Turner,1B
657557,Paul DeJong,"3B, SS"
664034,Ty France,1B
571771,Enrique Hernandez,"3B, OF"
649966,Luis Urias,3B
669222,Nick Senzel,3B
no_id_Joey Meneses,Joey Meneses,1B
593934,Miguel Sano,3B
695506,Jac Caglianone,2B
689172,Brett Wisely,"2B, SS"
669397,Nick Allen,SS
no_id_Leo Rivas,Leo Rivas,SS
700246,Carson Williams,SS
no_id_Gage Workman,Gage Workman,SS
628451,Andy Ibanez,2B
691785,Marcelo Mayer,"2B, SS"
660644,Vidal Brujan,"2B, SS, OF"
671221,Drew Waters,2B
669477,Casey Schmitt,2B
682617,Marco Luciano,SS
no_id_Aaron Schunk,Aaron Schunk,2B
668472,Nick Pratto,2B
677870,Leo Jimenez,"2B, SS"
593871,Jorge Polanco,2B
663898,Brendan Rodgers,2B
593160,Whit Merrifield,"2B, OF"
592273,Brandon Drury,2B
