id,name,position,team,conference,gs,rp,ip,cg,sho,win,save,era,k_allowed,whip,qs,loss,hold,bf,er,hit_allowed,single_allowed,double_allowed,triple_allowed,homerun_allowed,out_allowed,bb_allowed,hbp_allowed,k9_allowed,kbb_allowed,gp,k_per_9,k_per_bb,fpts,ppg,pa,ab,k,bb,hbp,ibb,single,double,triple,homerun,avg,obp,slg,ops,woba,sh,sf,run,rbi,sb,cs,hit,tb,bb_per_k,sold,points_rank,summarized_pos_cut_rank,vdp_score,vdp_rank,vdp_score_norm_initial,value
12513,Jordan Romano,RP,PHI,NL,0.0,54.102,57.832821990071,0.0,0.0,2.43048786069826,23.012277470136,4.11344596008755,61.560629419975,1.27745574814138,0.0,2.07534267294449,4.35417664489599,250.845,26.4324653306133,54.2287797142288,34.2186313849508,10.6787140383069,0.95569966308426,8.37573462788691,173.49846597021298,19.6500911682245,3.46766314733373,9.58012501750124,3.13284192388495,54.102,9.58012501750124,3.132841923884945,306.9964407717857,5.67440096062596,,,,,,,,,,,,,,,,,,,,,,,,,27.36645411503199,26.0,30.0,0.10984815602677478,24.0,0.5836409306033558,4.2
13175,Nick Mears,RP,MIL,NL,0.0,37.8143333333333,63.8139214520918,0.0,0.0,2.90669701061286,0.0,3.62020153415843,84.97530461508,1.15673992869013,0.0,2.13995594736599,11.3479440816454,269.214,25.6688062601698,51.3980710184281,32.3595151123528,10.0660669784033,0.941282558228296,8.03120636944369,191.4417643562754,22.4180399315021,3.95612469379448,11.9844968642129,3.7904876998489,37.8143333333333,11.984496864212861,3.790487699848892,168.70352756476274,4.461364585688748,,,,,,,,,,,,,,,,,,,,,,,,,11.3479440816454,103.0,30.0,-1.8660558618196306,85.0,-1.3258991740232728,-6.2
12551,Tommy Kahnle,RP,DET,AL,3.61183333333333,52.1645,56.9033640524777,0.0,0.0,2.47182534090339,2.00551327142797,3.75710569522215,59.1640117164693,1.28119531869051,0.0,2.09846729825034,9.89423499743638,247.526,23.7546614620959,50.7386798372964,33.705979267395,9.94507428157906,0.987388685043204,6.10023760327909,170.7100921574331,22.1656438044801,3.91158420079061,9.3575505475768,2.66917632703775,52.1645,9.357550547576782,2.6691763270377518,140.3355155247782,2.690249413389915,,,,,,,,,,,,,,,,,,,,,,,,,11.89974826886435,164.0,30.0,-2.290394173468299,137.0,-1.7502374856719412,-8.6
12589,Brennan Bernardino,RP,BOS,AL,0.278,37.032,60.7474626947925,0.0,0.0,2.62193123371436,0.0,4.11523700102484,65.9469834000913,1.35662345815926,0.0,2.10233851923428,10.3231110032484,268.843,27.7766895777762,58.6727519142088,38.5352696706398,11.3033588604318,1.07522541215549,7.75889797098166,182.24238808437752,23.7386810012016,4.18917900021204,9.77033153767755,2.77803907457004,37.032,9.770331537677551,2.7780390745700325,125.95614681579217,3.4012785379075443,,,,,,,,,,,,,,,,,,,,,,,,,10.3231110032484,200.0,30.0,-2.6595660034094895,195.0,-2.1194093156131317,-10.6
20078,Daysbel Hernández,RP,ATL,NL,0.0,34.2696666666667,55.7182884921258,0.0,0.0,2.56550458591939,0.0,3.78343253030347,72.3545406073,1.31708905083082,0.0,1.75834429122343,11.3641993170838,245.325,23.422931690438,46.2755557262172,30.8061281919317,8.731394709971,0.841770128425834,5.89626269588869,167.1548654763774,27.1103919777945,4.7841868196108,11.6872015111829,2.66888581568883,34.2696666666667,11.687201511182945,2.66888581568883,134.67062251430605,3.9297324897909496,,,,,,,,,,,,,,,,,,,,,,,,,11.3641993170838,178.0,30.0,-2.387624465252716,144.0,-1.8474677774563584,-9.1
13392,Gregory Soto,RP,BAL,AL,0.0,55.078,58.9834802972071,0.0,0.0,3.08224952200962,1.02400656547351,3.5338705423597,68.8571466507322,1.25826700846016,0.0,2.13637266445468,10.5397923764492,255.355666666667,23.1599981675727,50.483502622312,34.6877196757793,9.22263512655106,0.809497761886346,5.7636500580953,176.9504408916213,23.7334646798235,4.18825847291003,10.5065743278281,2.90126821261245,55.078,10.506574327828085,2.901268212612449,151.9561735609184,2.758926859379759,,,,,,,,,,,,,,,,,,,,,,,,,11.563798941922709,140.0,30.0,-2.0614486045694793,111.0,-1.5212919167731216,-7.3
13597,Eduardo Salazar,RP,WSH,NL,1.447,50.659,54.1145550347285,0.0,0.0,2.30112840219876,0.496171306942509,4.34969028451713,45.0953069030311,1.44654948255646,0.0,2.33280602206321,10.8473963466385,244.529666666667,26.1535060317251,56.1418683743383,38.850445067966,10.6067327250606,0.827877237929923,5.85681334338175,162.3436651041855,22.1375132099215,3.90661997822144,7.49997411725583,2.0370538675871,50.659,7.499974117255831,2.0370538675870997,94.6287192282392,1.8679547410773842,,,,,,,,,,,,,,,,,,,,,,,,,11.34356765358101,298.0,30.0,-3.040025250533271,265.0,-2.4998685627369133,-12.6
13079,Hoby Milner,RP,TEX,AL,2.18866666666667,55.596,59.7733912210942,0.0,0.0,2.613835761919,0.0,3.7877882311696,55.3134525316427,1.2443179773834,0.0,1.97886353024002,11.4001050046729,256.442666666667,25.1565497560397,58.8199080846816,39.3222156188927,11.0653795152891,0.977642325366179,7.45467062513358,179.32017366328262,15.5571971808971,2.74538773780537,8.3284729645572,3.5554895839183,55.596,8.328472964557209,3.555489583918295,125.62643598878122,2.2596308365490545,,,,,,,,,,,,,,,,,,,,,,,,,11.4001050046729,202.0,30.0,-2.458496026879274,155.0,-1.9183393390829164,-9.5
12465,Seth Martinez,RP,MIA,NL,0.0,31.7813333333333,51.5980397930024,0.0,0.0,1.92824694236354,0.0,4.49502066870699,44.329287951438,1.38928762406378,0.0,2.20332980479846,9.13242517260879,229.891,25.7704728149235,52.3477972168315,33.6402861569172,10.6728454554625,0.944463916176051,7.09020168827577,154.7941193790072,19.3367208935372,3.41236251062421,7.73214628236805,2.29249251698379,31.7813333333333,7.732146282368046,2.2924925169837826,87.46742524441072,2.752163489398729,,,,,,,,,,,,,,,,,,,,,,,,,9.13242517260879,323.0,30.0,-3.1878374992210246,292.0,-2.647680811424667,-13.5
12473,Ryne Stanek,RP,NYM,NL,0.0,55.1416666666667,62.7363864231102,0.0,0.0,2.75331224032333,0.508328823632547,3.9355663669901,77.2699553056875,1.24760187285859,0.0,1.98196949190142,12.361641998861,271.0625,27.4336902659208,52.2979571785541,32.6687384574726,10.6176262004357,0.946232702472501,8.06535981817332,188.2091592693306,25.972076019298,4.5833075328173,11.0849482636924,2.97511663096449,55.1416666666667,11.084948263692347,2.9751166309644903,152.92820487632474,2.77336928897672,,,,,,,,,,,,,,,,,,,,,,,,,12.869970822493547,137.0,30.0,-2.137108987224209,118.0,-1.5969522994278513,-7.7
