mlb_id,name,team,single,double,triple,hr,sb,r,rbi,cs,k,bb,avg,wt_avg,woba,std_plus,pa
668709,JJ Bleday,ATH,83.98,33.592,2.584,19.057,5.6202,73.644,71.706,1.8180337,143.412,74.936,0.2437783,0.0734933,0.325608,4.030519,646
650402,Gleyber Torres,DET,98.388384,30.261224,2.366298,16.930368,8.2688,80.75,72.998,2.606557,124.678,65.892,0.2550323,0.0768861,0.3220184,4.5008932,646
656305,Matt Chapman,SF,75.760296,35.367854,2.220948,26.29866,6.46,82.042,83.334,3.0410269,167.96,65.246,0.2404594,0.0724927,0.3289355,5.4221715,646
572233,Christian Walker,HOU,78.45393,30.19374,0,32.774385,4.515,85.14,99.33,1.6850233,137.385,67.08,0.2447087,0.0736596,0.3398502,6.4782093,645
691406,Junior Caminero,TB,97.409949,35.22519,2.927808,30.84939,2.652,82.212,92.157,1.610784,146.523,46.41,0.2698914,0.083507,0.3447216,6.098066,663
682928,CJ Abrams,WAS,88.2501425,32.169933,5.329827,20.349664,41.795,86.805,67.515,8.9967969,125.385,43.081,0.2435322,0.0730781,0.3064881,8.4526218,643
673548,Seiya Suzuki,CHC,92.078208,32.24124,4.233348,25.804548,15.408,85.386,84.744,5.2246595,154.722,71.262,0.2704522,0.08103,0.3572678,6.8131666,642
683734,Andrew Vaughn,CHW,93.18309,31.726998,1.563912,20.86821,1.7334,73.83,77.04,0.5243683,133.536,46.224,0.2473114,0.0740968,0.3087144,3.9687992,642
668227,Randy Arozarena,SEA,82.85652,27.258036,2.046696,21.9995424,19.902,73.188,79.608,10.914,166.278,67.41,0.2334896,0.0699557,0.3135312,6.0260077,642
665161,Jeremy Pena,HOU,110.560321,30.644928,2.353752,17.282642,18.589,79.484,71.151,5.3883724,117.303,31.409,0.2638517,0.0789293,0.3056711,5.6564771,641
670623,Isaac Paredes,HOU,86.275395,29.368056,0,23.929812,0.641,82.689,73.074,0.6851689,103.201,74.356,0.2463156,0.0736835,0.3313918,4.2761342,641
660271,Shohei Ohtani,LAD,76.543092,30.46673,4.292136,47.2417,23.717,114.739,104.483,7.051,150.635,79.484,0.2823493,0.0844627,0.4090729,11.4678117,641
669364,Xavier Edwards,MIA,124.298874,24.137496,4.176756,4.289572,41.665,82.689,51.28,7.6902418,99.355,62.818,0.2713725,0.0811791,0.3099125,6.520537,641
641355,Cody Bellinger,NYY,94.15008,33.194826,2.381315,23.247147,9.615,85.253,83.33,3.514936,113.457,53.203,0.2602486,0.0778515,0.3303927,5.7636278,641
665862,Jazz Chisholm Jr.,NYY,89.7024,27.00544,3.32864,28.1344,35.84,87.04,83.2,9.9647413,167.68,51.2,0.2516489,0.0751615,0.3281893,9.1186542,640
542303,Marcell Ozuna,ATL,91.07028,30.027888,0,33.765399,1.3419,82.431,92.655,0.4156101,159.111,58.788,0.2669086,0.0795946,0.3542286,6.1217139,639
621493,Taylor Ward,LAA,94.5081,30.894372,1.920834,22.899204,6.39,78.597,79.236,2.3049429,150.804,60.705,0.259768,0.0774652,0.3333924,5.0175033,639
593428,Xander Bogaerts,SD,112.74342,29.75256,1.534455,17.989695,18.06,75.465,78.69,3.3945531,110.295,52.89,0.2736318,0.0823657,0.3284263,5.899177,645
595777,Jurickson Profar,ATL,96.457536,28.344008,1.8753,20.336806,9.212,88.172,81.592,1.9618817,111.86,73.696,0.2516047,0.0772618,0.3273886,5.4545127,658
650859,Luis Rengifo,LAA,111.096564,25.203528,3.17133,12.676458,28.485,81.024,70.896,7.7083397,100.014,41.145,0.2570695,0.0759407,0.2977375,6.2565078,633
808982,Jung Hoo Lee,SF,110.073636,37.271673,4.352508,16.80615,8.862,83.556,74.694,3.3778643,67.098,53.805,0.2909279,0.0859428,0.3499492,5.005411,633
607043,Brandon Nimmo,NYM,87.003648,26.8758,2.765,21.022848,7.584,80.264,82.16,1.896,142.832,68.888,0.2444759,0.0721063,0.3238478,4.9345241,632
